symbol,companyName,sector,industry,mcap_tier,marketCap_B,beta,close_today,ret_1D,ret_3D,ret_1W,dollar_vol_M
ASYS,"Amtech Systems, Inc.",Technology,Semiconductors,L5 · Micro <$1B,0.31,1.9538368,21.07,-4.01,-0.94,-3.3,11.9
ROG,Rogers Corporation,Technology,"Hardware, Equipment & Parts",L4 · Small $1B-$5B,2.59,0.519,148.0,-4.03,4.58,1.47,32.0
WK,Workiva Inc.,Technology,Software - Application,L4 · Small $1B-$5B,2.61,0.538,49.84,-4.04,0.12,4.9,64.7
BSY,"Bentley Systems, Incorporated",Technology,Software - Application,L3 · Mid $5B-$30B,9.41,1.007,32.62,-4.06,-0.06,1.75,66.2
PEGA,Pegasystems Inc.,Technology,Software - Application,L3 · Mid $5B-$30B,5.66,0.882,35.11,-4.1,-1.74,4.03,57.1
VSAT,"Viasat, Inc.",Technology,Communication Equipment,L3 · Mid $5B-$30B,11.78,1.671,69.62,-4.12,-13.64,-18.64,242.5
LLYVK,Liberty Live Group,Communication Services,Entertainment,L3 · Mid $5B-$30B,9.02,0.978,93.86,-4.14,-5.29,-3.72,57.2
FEIM,"Frequency Electronics, Inc.",Technology,Communication Equipment,L5 · Micro <$1B,0.74,0.461,69.16,-4.16,-8.86,-2.76,9.3
VNET,"VNET Group, Inc.",Technology,Information Technology Services,L4 · Small $1B-$5B,2.91,0.189,10.33,-4.17,2.48,-3.55,47.1
CARS,Cars.com Inc.,Communication Services,Internet Content & Information,L5 · Micro <$1B,0.57,1.643,9.18,-4.18,-10.7,-8.75,8.3
PATH,UiPath Inc.,Technology,Software - Infrastructure,L3 · Mid $5B-$30B,6.23,0.909,11.67,-4.19,-0.43,4.57,388.9
AI,"C3.ai, Inc.",Technology,Information Technology Services,L4 · Small $1B-$5B,1.45,1.987,10.71,-4.2,-0.56,11.68,158.0
BLND,"Blend Labs, Inc.",Technology,Software - Application,L5 · Micro <$1B,0.42,1.029,1.59,-4.22,-11.17,1.92,5.3
ERIC,Telefonaktiebolaget LM Ericsson (publ),Technology,Communication Equipment,L2 · Large $30B-$100B,42.34,0.49,13.16,-4.22,0.77,0.92,193.7
REZI,"Resideo Technologies, Inc.",Industrials,Security & Protection Services,L4 · Small $1B-$5B,4.75,1.752,29.75,-4.22,-4.86,-2.81,30.6
TDC,Teradata Corporation,Technology,Software - Infrastructure,L4 · Small $1B-$5B,2.98,0.51,34.97,-4.22,2.7,8.54,65.3
DV,"DoubleVerify Holdings, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,1.48,1.053,10.2,-4.23,5.15,5.37,38.6
GTN,"Gray Media, Inc.",Communication Services,Broadcasting,L5 · Micro <$1B,0.43,1.067,3.85,-4.23,-3.99,-6.78,5.2
PONY,Pony AI Inc. American Depositary Shares,Industrials,Rental & Leasing Services,L4 · Small $1B-$5B,3.51,4.0679502,10.37,-4.25,3.39,6.47,53.6
PCTY,Paylocity Holding Corporation,Technology,Software - Application,L3 · Mid $5B-$30B,5.94,0.497,112.82,-4.26,-1.84,3.57,51.3
BILI,Bilibili Inc.,Technology,Electronic Gaming & Multimedia,L3 · Mid $5B-$30B,7.22,0.79,17.85,-4.29,3.06,1.59,39.7
EH,EHang Holdings Limited,Industrials,Aerospace & Defense,L5 · Micro <$1B,0.38,1.134,9.78,-4.31,-3.74,2.41,10.0
FIVN,"Five9, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,1.75,1.325,23.95,-4.31,-1.64,7.21,71.4
INDI,"indie Semiconductor, Inc.",Technology,Semiconductors,L4 · Small $1B-$5B,1.13,2.733,4.88,-4.31,-2.2,-5.43,22.5
LBTYK,Liberty Global plc,Communication Services,Telecommunications Services,L4 · Small $1B-$5B,4.01,0.706,11.33,-4.31,-6.83,-3.66,18.1
OPFI,OppFi Inc.,Technology,Software - Application,L5 · Micro <$1B,0.71,1.871,8.0,-4.31,-5.77,-5.44,8.1
CEPU,Central Puerto S.A.,Utilities,Regulated Electric,L4 · Small $1B-$5B,2.28,0.8382523,15.07,-4.32,-4.32,-2.08,5.7
OOMA,"Ooma, Inc.",Communication Services,Telecommunications Services,L5 · Micro <$1B,0.49,1.202,16.88,-4.36,-4.36,-3.16,6.5
RXT,"Rackspace Technology, Inc.",Technology,Software - Infrastructure,L4 · Small $1B-$5B,1.21,2.237,5.21,-4.4,0.77,12.53,67.2
TEO,Telecom Argentina S.A.,Communication Services,Telecommunications Services,L3 · Mid $5B-$30B,5.95,0.325,13.25,-4.4,-9.93,-5.22,5.7
IQ,"iQIYI, Inc.",Communication Services,Entertainment,L4 · Small $1B-$5B,1.09,0.191,1.08,-4.42,-5.26,1.89,10.3
NTNX,"Nutanix, Inc.",Technology,Software - Infrastructure,L3 · Mid $5B-$30B,12.94,0.539,53.04,-4.42,1.86,13.89,190.7
T,AT&T Inc.,Communication Services,Telecommunications Services,L1 · Mega ≥$100B,172.87,0.417,23.55,-4.42,-5.04,-5.38,1215.7
YMM,Full Truck Alliance Co. Ltd.,Technology,Software - Application,L3 · Mid $5B-$30B,9.2,0.291,9.09,-4.42,3.06,5.57,53.3
IONQ,"IonQ, Inc.",Technology,Computer Hardware,L3 · Mid $5B-$30B,26.18,3.052,68.23,-4.44,-5.33,4.33,1884.0
OTEX,Open Text Corporation,Technology,Software - Application,L3 · Mid $5B-$30B,5.66,1.05,23.69,-4.44,-0.63,2.87,85.8
GIB,CGI Inc.,Technology,Information Technology Services,L3 · Mid $5B-$30B,14.69,0.152,66.25,-4.46,-5.06,-1.18,24.6
CBZ,"CBIZ, Inc.",Industrials,Specialty Business Services,L4 · Small $1B-$5B,1.73,0.973,32.25,-4.47,-2.86,1.03,19.0
PAYC,"Paycom Software, Inc.",Technology,Software - Application,L3 · Mid $5B-$30B,7.47,0.775,137.79,-4.47,-1.35,4.17,98.2
WLTH,Wealthfront Corporation,Technology,Software - Application,L4 · Small $1B-$5B,1.79,0.48604122,11.76,-4.47,-3.76,-1.84,14.8
WMG,Warner Music Group Corp.,Communication Services,Entertainment,L3 · Mid $5B-$30B,16.88,1.251,29.42,-4.48,-6.72,-11.65,136.2
TE,T1 Energy Inc,Industrials,Electrical Equipment & Parts,L4 · Small $1B-$5B,1.88,1.779,11.5,-4.49,8.9,4.93,461.0
OUST,"Ouster, Inc.",Technology,"Hardware, Equipment & Parts",L4 · Small $1B-$5B,2.7,3.062,43.96,-4.5,-4.54,-0.61,134.9
DSGX,The Descartes Systems Group Inc.,Technology,Software - Application,L3 · Mid $5B-$30B,6.17,0.178,74.11,-4.51,0.46,6.19,38.0
NCNO,"nCino, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,1.74,0.721,15.88,-4.51,-1.24,4.54,66.3
ENVX,Enovix Corporation,Industrials,Electrical Equipment & Parts,L4 · Small $1B-$5B,1.67,2.231,8.23,-4.52,3.13,9.73,58.0
DJT,Trump Media & Technology Group Corp.,Communication Services,Internet Content & Information,L4 · Small $1B-$5B,2.46,4.183,8.63,-4.54,-7.3,0.7,33.3
OPTX,"Syntec Optics Holdings, Inc.",Technology,"Hardware, Equipment & Parts",L5 · Micro <$1B,0.44,-0.919,12.63,-4.54,26.93,5.96,15.9
EVC,Entravision Communications Corporation,Communication Services,Broadcasting,L5 · Micro <$1B,0.86,1.376,8.6,-4.55,-5.29,-9.66,16.8
SONO,"Sonos, Inc.",Technology,Consumer Electronics,L4 · Small $1B-$5B,1.89,1.941,15.72,-4.55,-0.38,-1.32,17.6
YELP,Yelp Inc.,Communication Services,Internet Content & Information,L4 · Small $1B-$5B,1.28,0.538,22.02,-4.55,-3.42,-6.1,31.1
HPQ,HP Inc.,Technology,Computer Hardware,L3 · Mid $5B-$30B,22.87,1.108,26.04,-4.58,-3.7,2.16,490.1
PRLB,"Proto Labs, Inc.",Industrials,Manufacturing - Miscellaneous,L4 · Small $1B-$5B,1.78,1.365,74.67,-4.58,-1.44,0.38,18.2
INTA,"Intapp, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,1.59,0.481,23.93,-4.59,3.64,25.03,25.7
SCSC,"ScanSource, Inc.",Technology,Technology Distributors,L5 · Micro <$1B,0.93,1.276,45.87,-4.6,-0.86,1.01,13.5
KRNT,Kornit Digital Ltd.,Industrials,Industrial - Machinery,L5 · Micro <$1B,0.73,1.763,15.93,-4.61,-1.24,-4.21,3.0
UMC,United Microelectronics Corporation,Technology,Semiconductors,L2 · Large $30B-$100B,56.57,1.187,21.42,-4.63,-3.43,-3.6,335.1
ALK,"Alaska Air Group, Inc.",Industrials,"Airlines, Airports & Air Services",L3 · Mid $5B-$30B,5.19,1.251,41.87,-4.65,-9.02,-8.92,145.7
OSS,"One Stop Systems, Inc.",Technology,Computer Hardware,L5 · Micro <$1B,0.44,1.147,19.02,-4.66,4.62,8.31,27.0
GILT,Gilat Satellite Networks Ltd.,Technology,Communication Equipment,L4 · Small $1B-$5B,1.14,1.049,15.48,-4.68,-9.84,-11.19,10.9
UPWK,Upwork Inc.,Industrials,Staffing & Employment Services,L4 · Small $1B-$5B,1.06,1.067,8.56,-4.68,-2.95,-0.93,33.6
GDS,GDS Holdings Limited,Technology,Information Technology Services,L3 · Mid $5B-$30B,6.85,0.454,35.17,-4.71,-0.79,3.81,75.5
PLUS,ePlus inc.,Technology,Software - Application,L4 · Small $1B-$5B,2.34,1.043,80.39,-4.71,-2.07,-9.87,26.9
ACN,Accenture plc,Technology,Information Technology Services,L1 · Mega ≥$100B,109.79,1.071,177.43,-4.72,-5.15,0.61,836.6
INFY,Infosys Limited,Technology,Information Technology Services,L2 · Large $30B-$100B,51.51,0.127,12.46,-4.74,-1.5,0.56,197.1
EVLV,"Evolv Technologies Holdings, Inc.",Industrials,Security & Protection Services,L4 · Small $1B-$5B,1.17,1.818,6.41,-4.75,-0.62,1.58,14.5
GWRE,"Guidewire Software, Inc.",Technology,Software - Application,L3 · Mid $5B-$30B,12.08,0.912,155.01,-4.75,1.53,16.31,205.5
XE,"X-Energy, Inc. Class A Common Stock",Industrials,Industrial - Machinery,L5 · Micro <$1B,0.55,,26.27,-4.75,-2.38,-4.61,74.3
FROG,JFrog Ltd.,Technology,Software - Application,L3 · Mid $5B-$30B,8.81,1.021,83.86,-4.76,5.51,17.48,165.5
APPF,"AppFolio, Inc.",Technology,Software - Application,L3 · Mid $5B-$30B,5.71,0.824,166.27,-4.79,3.16,1.99,60.6
FVRR,Fiverr International Ltd.,Communication Services,Internet Content & Information,L5 · Micro <$1B,0.4,1.432,10.07,-4.82,-8.37,-8.04,11.3
PAYO,Payoneer Global Inc.,Technology,Software - Infrastructure,L4 · Small $1B-$5B,1.71,1.015,5.09,-4.86,-2.12,2.0,22.5
TOST,"Toast, Inc.",Technology,Software - Infrastructure,L3 · Mid $5B-$30B,14.48,1.817,25.07,-4.86,-3.69,2.33,257.7
VEON,VEON Ltd.,Communication Services,Telecommunications Services,L4 · Small $1B-$5B,3.92,1.606,52.61,-4.86,-6.29,-8.57,4.1
PAGS,PagSeguro Digital Ltd.,Technology,Software - Infrastructure,L4 · Small $1B-$5B,2.7,1.341,8.77,-4.88,-6.2,-5.39,32.7
DOCU,"DocuSign, Inc.",Technology,Software - Application,L3 · Mid $5B-$30B,9.63,0.883,52.4,-4.9,-0.23,8.2,167.5
ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,L4 · Small $1B-$5B,4.31,1.015,41.56,-4.92,-4.83,-1.8,39.7
BULL,Webull Corporation Class A Ordinary Shares,Technology,Software - Application,L4 · Small $1B-$5B,3.37,0.604,5.9,-4.99,-7.81,-5.14,107.1
BLDP,Ballard Power Systems Inc.,Industrials,Industrial - Machinery,L4 · Small $1B-$5B,1.87,1.68,6.06,-5.02,-3.66,-0.49,54.2
PLTK,Playtika Holding Corp.,Technology,Electronic Gaming & Multimedia,L4 · Small $1B-$5B,1.37,1.081,3.21,-5.03,-14.85,-10.08,3.9
U,Unity Software Inc.,Technology,Software - Application,L3 · Mid $5B-$30B,13.07,2.038,29.22,-5.04,-4.1,5.26,183.2
KARO,Karooooo Ltd.,Technology,Software - Application,L4 · Small $1B-$5B,1.47,0.921,47.11,-5.06,-1.24,-0.8,4.2
SHAZ,"SharonAI Holdings, Inc. Class A Common Stock",Technology,Information Technology Services,L5 · Micro <$1B,0.73,6.1686497,80.09,-5.08,5.62,21.92,40.1
ZM,"Zoom Communications, Inc.",Technology,Software - Application,L3 · Mid $5B-$30B,29.46,1.003,106.2,-5.08,4.54,6.24,320.3
CRM,"Salesforce, Inc.",Technology,Software - Application,L1 · Mega ≥$100B,144.28,1.139,190.61,-5.09,-0.26,7.38,2574.3
HON,Honeywell International Inc.,Industrials,Conglomerates,L1 · Mega ≥$100B,147.64,0.811,223.26,-5.09,-6.14,-3.58,1368.6
AMPX,"Amprius Technologies, Inc.",Industrials,Electrical Equipment & Parts,L4 · Small $1B-$5B,2.95,2.22,21.74,-5.11,7.2,26.69,181.3
MRAM,"Everspin Technologies, Inc.",Technology,Semiconductors,L5 · Micro <$1B,0.73,1.758,28.57,-5.11,8.3,-4.67,82.7
PRG,"PROG Holdings, Inc.",Industrials,Rental & Leasing Services,L4 · Small $1B-$5B,1.49,1.834,34.14,-5.11,-7.15,-9.39,11.7
RJET,Republic Airways Holdings Inc.,Industrials,"Airlines, Airports & Air Services",L4 · Small $1B-$5B,1.1,2.2147722,17.64,-5.11,-13.32,-27.2,3.1
ADUR,Aduro Clean Technologies Inc.,Industrials,Industrial - Pollution & Treatment Controls,L5 · Micro <$1B,0.57,1.286,15.74,-5.12,-6.59,0.7,7.0
BE,Bloom Energy Corporation,Industrials,Electrical Equipment & Parts,L2 · Large $30B-$100B,82.49,3.83,287.32,-5.13,0.81,-2.21,2188.6
ASPN,"Aspen Aerogels, Inc.",Industrials,Construction,L5 · Micro <$1B,0.53,2.827,5.9,-5.14,-7.81,-7.23,7.6
KRMN,Karman Holdings Inc.,Industrials,Aerospace & Defense,L3 · Mid $5B-$30B,8.73,0.6779514,51.84,-5.14,-9.84,-18.39,233.6
ESTC,Elastic N.V.,Technology,Software - Application,L3 · Mid $5B-$30B,5.96,0.885,64.1,-5.16,-0.93,18.92,168.1
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,L3 · Mid $5B-$30B,11.37,0.915,83.98,-5.16,-2.16,-3.88,196.9
WBTN,WEBTOON Entertainment Inc. Common stock,Technology,Software - Application,L4 · Small $1B-$5B,1.62,2.5973072,11.37,-5.17,-7.49,-4.77,3.9
RNG,"RingCentral, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,3.68,1.132,43.97,-5.18,1.52,5.7,65.0
LYTS,LSI Industries Inc.,Technology,"Hardware, Equipment & Parts",L5 · Micro <$1B,0.76,0.539,22.84,-5.19,-5.74,-7.68,19.1
FWRD,Forward Air Corporation,Industrials,Integrated Freight & Logistics,L5 · Micro <$1B,0.33,1.591,9.67,-5.2,-8.6,-6.84,11.6
INOD,Innodata Inc.,Technology,Information Technology Services,L4 · Small $1B-$5B,3.24,2.403,108.27,-5.21,3.13,21.65,158.3
AVPT,"AvePoint, Inc.",Technology,Software - Infrastructure,L4 · Small $1B-$5B,2.18,1.159,10.7,-5.23,-1.92,6.47,16.4
GRAB,Grab Holdings Limited,Technology,Software - Application,L3 · Mid $5B-$30B,14.03,0.928,3.41,-5.28,-3.67,-6.32,177.3
SAP,SAP SE,Technology,Software - Application,L1 · Mega ≥$100B,204.45,0.709,180.67,-5.32,-0.62,3.75,449.0
CLBT,Cellebrite DI Ltd.,Technology,Software - Infrastructure,L4 · Small $1B-$5B,3.29,1.146,14.18,-5.34,-3.73,11.65,21.9
STNE,StoneCo Ltd.,Technology,Software - Infrastructure,L4 · Small $1B-$5B,2.76,1.597,10.64,-5.34,-7.07,-6.26,90.2
ALGT,Allegiant Travel Company,Industrials,"Airlines, Airports & Air Services",L4 · Small $1B-$5B,1.66,1.497,82.98,-5.35,-9.42,-8.81,46.0
CMCSA,Comcast Corporation,Communication Services,Telecommunications Services,L2 · Large $30B-$100B,89.88,0.689,23.52,-5.35,-5.43,-6.74,1014.9
EVER,"EverQuote, Inc.",Communication Services,Internet Content & Information,L5 · Micro <$1B,0.67,0.548,17.96,-5.47,-6.65,-6.65,14.1
BBAI,"BigBear.ai Holdings, Inc.",Technology,Information Technology Services,L4 · Small $1B-$5B,1.77,3.051,4.83,-5.48,-4.17,10.53,245.4
BL,"BlackLine, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,1.59,0.687,28.81,-5.48,-2.01,7.34,26.2
PUBM,"PubMatic, Inc.",Technology,Software - Application,L5 · Micro <$1B,0.53,1.534,11.38,-5.48,-2.57,2.99,9.9
SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,L3 · Mid $5B-$30B,24.84,1.684,47.42,-5.48,2.89,24.17,2302.5
LUMN,"Lumen Technologies, Inc.",Communication Services,Telecommunications Services,L3 · Mid $5B-$30B,11.02,1.665,9.98,-5.49,-9.19,-8.19,161.5
NMAX,"Newsmax, Inc.",Communication Services,Broadcasting,L5 · Micro <$1B,0.79,2.247183,8.56,-5.52,0.59,9.88,14.3
LTRX,"Lantronix, Inc.",Technology,Communication Equipment,L5 · Micro <$1B,0.34,1.636,7.5,-5.54,-0.66,3.45,9.6
PAY,"Paymentus Holdings, Inc.",Technology,Information Technology Services,L4 · Small $1B-$5B,2.92,1.402,21.11,-5.55,-10.13,-9.36,22.0
MQ,"Marqeta, Inc.",Technology,Software - Infrastructure,L4 · Small $1B-$5B,1.67,1.353,3.87,-5.61,-4.68,1.31,28.9
TNET,"TriNet Group, Inc.",Industrials,Staffing & Employment Services,L4 · Small $1B-$5B,2.09,1.014,45.4,-5.61,-0.61,4.08,22.0
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,L1 · Mega ≥$100B,175.67,0.77,280.43,-5.64,-0.45,12.86,4074.1
RDWR,Radware Ltd.,Technology,Software - Infrastructure,L4 · Small $1B-$5B,1.27,0.817,29.77,-5.64,-1.88,2.62,7.7
IHRT,"iHeartMedia, Inc.",Communication Services,Broadcasting,L5 · Micro <$1B,0.63,2.342,3.94,-5.74,-8.58,-21.83,8.1
APP,AppLovin Corporation,Technology,Software - Application,L1 · Mega ≥$100B,201.53,2.366,570.83,-5.75,-6.89,0.53,1930.3
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,L3 · Mid $5B-$30B,5.3,1.453,97.28,-5.76,-5.06,-4.33,146.5
CCOI,"Cogent Communications Holdings, Inc.",Communication Services,Telecommunications Services,L5 · Micro <$1B,0.99,0.828,16.39,-5.8,-7.71,-24.19,17.7
FIP,FTAI Infrastructure Inc.,Industrials,Conglomerates,L5 · Micro <$1B,0.54,2.067,4.22,-5.8,-5.38,-8.86,4.0
WEAV,"Weave Communications, Inc.",Technology,Software - Application,L5 · Micro <$1B,0.46,1.632,5.68,-5.8,-5.65,1.79,5.3
KEN,Kenon Holdings Ltd.,Utilities,Independent Power Producers,L4 · Small $1B-$5B,4.78,0.383,81.4,-5.81,-10.32,-13.87,3.4
ORCL,Oracle Corporation,Technology,Software - Infrastructure,L1 · Mega ≥$100B,585.85,1.544,230.33,-5.83,2.02,20.62,5223.2
AMBA,"Ambarella, Inc.",Technology,Semiconductors,L4 · Small $1B-$5B,4.03,2.164,73.8,-5.84,2.24,-18.53,158.8
IBEX,IBEX Limited,Technology,Information Technology Services,L5 · Micro <$1B,0.43,0.654,30.04,-5.86,-5.06,-3.44,3.7
OSPN,OneSpan Inc.,Technology,Software - Infrastructure,L5 · Micro <$1B,0.52,1.465,14.44,-5.87,0.0,6.49,9.9
XYZ,"Block, Inc.",Technology,Software - Infrastructure,L2 · Large $30B-$100B,44.25,2.57,69.8,-5.87,-7.82,-2.27,501.7
MVST,"Microvast Holdings, Inc.",Industrials,Electrical Equipment & Parts,L5 · Micro <$1B,0.53,3.602,1.44,-5.88,-7.1,-0.69,5.0
HLIT,Harmonic Inc.,Technology,Communication Equipment,L4 · Small $1B-$5B,1.84,1.244,14.66,-5.91,-2.98,-14.32,65.2
TRU,TransUnion,Industrials,Consulting Services,L3 · Mid $5B-$30B,13.82,1.571,69.39,-5.91,-3.03,-2.05,150.8
TBLA,Taboola.com Ltd.,Communication Services,Internet Content & Information,L4 · Small $1B-$5B,1.37,1.427,4.57,-5.97,-6.35,-6.54,15.1
FRSH,Freshworks Inc.,Technology,Software - Application,L4 · Small $1B-$5B,2.49,0.834,9.55,-6.0,-1.65,6.35,75.6
LOGI,Logitech International S.A.,Technology,Computer Hardware,L3 · Mid $5B-$30B,16.04,0.603,119.07,-6.01,-2.3,8.33,226.6
GCT,GigaCloud Technology Inc.,Technology,Software - Infrastructure,L4 · Small $1B-$5B,1.41,1.818,32.41,-6.03,-10.07,-15.51,24.3
RDVT,"Red Violet, Inc.",Technology,Software - Application,L5 · Micro <$1B,0.77,1.711,53.36,-6.04,-6.12,2.16,10.6
S,"SentinelOne, Inc.",Technology,Software - Infrastructure,L3 · Mid $5B-$30B,6.04,0.785,16.3,-6.05,-1.51,-9.19,145.2
MNDY,monday.com Ltd.,Technology,Software - Application,L4 · Small $1B-$5B,3.99,1.158,85.95,-6.08,2.79,12.47,137.4
GDYN,"Grid Dynamics Holdings, Inc.",Technology,Information Technology Services,L5 · Micro <$1B,0.62,0.859,7.04,-6.13,-2.22,0.0,11.7
MDA,MDA Space Ltd,Technology,"Hardware, Equipment & Parts",L3 · Mid $5B-$30B,6.75,0.6019395,40.25,-6.13,-10.02,-13.31,36.5
PRGS,Progress Software Corporation,Technology,Software - Application,L4 · Small $1B-$5B,1.29,0.782,31.96,-6.14,-2.65,7.46,16.7
FICO,Fair Isaac Corporation,Technology,Software - Application,L2 · Large $30B-$100B,30.06,1.23,1174.66,-6.15,-6.07,-8.12,347.3
GLOB,Globant S.A.,Technology,Information Technology Services,L4 · Small $1B-$5B,1.72,1.036,39.67,-6.17,-1.71,2.19,81.3
FIG,"Figma, Inc.",Technology,Software - Application,L3 · Mid $5B-$30B,11.44,-0.18728326,22.79,-6.18,-10.63,6.79,329.0
QNST,"QuinStreet, Inc.",Communication Services,Advertising Agencies,L5 · Micro <$1B,0.71,0.718,11.39,-6.18,-9.03,-7.25,7.5
SSYS,Stratasys Ltd.,Technology,Computer Hardware,L5 · Micro <$1B,0.86,1.861,9.85,-6.19,-6.55,-0.61,8.7
WAY,Waystar Holding Corp.,Technology,Information Technology Services,L4 · Small $1B-$5B,3.72,0.1966996,19.52,-6.24,-1.96,2.41,46.5
BMBL,Bumble Inc.,Technology,Software - Application,L5 · Micro <$1B,0.38,2.0,2.85,-6.25,-10.09,-9.81,10.6
IBTA,"Ibotta, Inc.",Technology,Software - Application,L5 · Micro <$1B,0.92,-0.594,32.56,-6.25,-4.93,-3.95,5.2
NNDM,Nano Dimension Ltd.,Technology,Computer Hardware,L5 · Micro <$1B,0.36,0.99525326,1.65,-6.25,-5.71,-2.37,4.0
CRNC,Cerence Inc.,Technology,Software - Application,L5 · Micro <$1B,0.54,2.89,12.28,-6.26,-4.51,5.32,16.9
NSP,"Insperity, Inc.",Industrials,Staffing & Employment Services,L4 · Small $1B-$5B,1.3,0.622,33.6,-6.28,-2.52,1.97,34.3
CRDO,Credo Technology Group Holding Ltd,Technology,Communication Equipment,L2 · Large $30B-$100B,41.01,3.176,214.6,-6.29,-9.08,-3.0,2035.5
AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense,L3 · Mid $5B-$30B,10.71,1.355,191.47,-6.3,-7.61,5.62,248.5
CLFD,"Clearfield, Inc.",Technology,Communication Equipment,L5 · Micro <$1B,0.63,1.901,45.13,-6.35,-4.43,-11.96,18.4
CDZI,Cadiz Inc.,Utilities,Regulated Water,L5 · Micro <$1B,0.37,1.786,4.54,-6.39,-6.97,2.25,3.0
CLVT,Clarivate Plc,Technology,Information Technology Services,L4 · Small $1B-$5B,1.63,1.411,2.47,-6.44,-2.37,-4.63,10.8
WPP,WPP plc,Communication Services,Advertising Agencies,L4 · Small $1B-$5B,4.05,0.654,17.6,-6.48,-5.38,-5.68,9.9
DMRC,Digimarc Corporation,Technology,Information Technology Services,L5 · Micro <$1B,0.33,1.877,14.46,-6.53,-1.63,7.67,5.0
SPCE,"Virgin Galactic Holdings, Inc.",Industrials,Aerospace & Defense,L5 · Micro <$1B,0.28,2.1741176,4.29,-6.54,-30.58,13.19,235.2
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,L1 · Mega ≥$100B,329.12,1.521,142.2,-6.55,-9.16,7.31,5715.1
DAVE,Dave Inc.,Technology,Software - Application,L4 · Small $1B-$5B,3.61,3.937,249.33,-6.56,-11.76,-2.7,212.3
ALKT,"Alkami Technology, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,1.88,0.54,16.62,-6.58,-8.53,-1.07,37.1
APLD,Applied Digital Corporation,Technology,Information Technology Services,L3 · Mid $5B-$30B,14.19,5.7,44.71,-6.58,-5.44,-8.72,709.3
VRNS,"Varonis Systems, Inc.",Technology,Software - Infrastructure,L4 · Small $1B-$5B,3.74,0.802,33.51,-6.61,-1.87,10.81,59.5
MAX,"MediaAlpha, Inc.",Communication Services,Internet Content & Information,L5 · Micro <$1B,0.48,1.159,8.29,-6.64,-6.85,-4.05,3.7
AFRM,"Affirm Holdings, Inc.",Technology,Software - Infrastructure,L3 · Mid $5B-$30B,24.45,3.723,66.27,-6.68,-10.02,-5.92,346.8
TSAT,Telesat Corporation,Technology,Communication Equipment,L5 · Micro <$1B,0.87,2.002,46.79,-6.68,-13.69,-18.4,18.3
SWMR,"Swarmer, Inc Common Stock",Technology,Software - Application,L5 · Micro <$1B,0.64,,73.24,-6.72,30.3,50.82,61.7
LAES,SEALSQ Corp,Technology,Semiconductors,L5 · Micro <$1B,0.53,-8.372,3.46,-6.74,-0.57,-0.57,57.9
ZS,"Zscaler, Inc.",Technology,Software - Infrastructure,L3 · Mid $5B-$30B,21.03,0.962,134.37,-6.78,-3.84,6.3,1022.1
GRND,Grindr Inc.,Technology,Software - Application,L4 · Small $1B-$5B,2.29,0.275,10.9,-6.92,-12.8,-14.38,32.2
TEAM,Atlassian Corporation,Technology,Software - Application,L3 · Mid $5B-$30B,24.5,0.899,101.53,-6.94,-5.65,13.99,507.1
DDD,3D Systems Corporation,Technology,Computer Hardware,L5 · Micro <$1B,0.51,2.582,3.61,-6.96,1.12,1.98,17.2
CRWV,"CoreWeave, Inc. Class A Common Stock",Technology,Software - Infrastructure,L2 · Large $30B-$100B,58.3,7.8006163,110.93,-6.99,1.28,6.39,2830.8
DDOG,"Datadog, Inc.",Technology,Software - Application,L2 · Large $30B-$100B,80.18,1.295,250.33,-6.99,1.2,12.86,2062.3
RKLB,"Rocket Lab USA, Inc.",Industrials,Aerospace & Defense,L2 · Large $30B-$100B,85.69,2.313,114.7,-6.99,-20.06,-23.65,2392.5
KC,Kingsoft Cloud Holdings Limited,Technology,Software - Application,L4 · Small $1B-$5B,3.73,2.033,12.74,-7.01,3.75,-2.9,13.1
MSTR,Strategy Inc,Technology,Software - Application,L2 · Large $30B-$100B,45.05,3.595,126.54,-7.01,-20.46,-17.94,2540.1
WYFI,"WhiteFiber, Inc. Ordinary Shares",Technology,Information Technology Services,L4 · Small $1B-$5B,1.24,5.1725636,28.03,-7.06,-5.75,-11.24,28.0
QTWO,"Q2 Holdings, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,2.83,1.385,45.42,-7.08,-4.08,1.14,22.1
FOUR,"Shift4 Payments, Inc.",Technology,Software - Infrastructure,L4 · Small $1B-$5B,3.99,1.439,40.22,-7.09,-9.74,-6.36,72.5
EVEX,"Eve Holding, Inc.",Industrials,Aerospace & Defense,L4 · Small $1B-$5B,1.05,1.044,3.14,-7.1,-8.99,-3.38,3.6
